Linux 3.10.0-514.26.2.el7.x86_64 (ip-10-0-1-10) 	01/08/17 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:00:02          0     12.95      0.00      8.58      0.03      0.31      0.00      0.00      0.00      0.00     78.14
09:00:02          1     13.23      0.00      8.83      0.01      0.32      0.00      0.10      0.00      0.00     77.51
09:10:01        all     12.13      0.00      8.29      0.09      0.32      0.00      0.05      0.00      0.00     79.12
09:10:01          0     11.97      0.00      8.09      0.07      0.31      0.00      0.00      0.00      0.00     79.56
09:10:01          1     12.30      0.00      8.49      0.11      0.32      0.00      0.09      0.00      0.00     78.69

09:10:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:20:01        all     10.49      0.00      8.02      0.28      0.32      0.00      0.03      0.00      0.00     80.87
09:20:01          0     10.31      0.00      7.91      0.30      0.32      0.00      0.00      0.00      0.00     81.17
09:20:01          1     10.66      0.00      8.13      0.26      0.33      0.00      0.06      0.00      0.00     80.57
09:30:01        all     26.72      0.00      9.06      0.04      0.27      0.00      0.08      0.00      0.00     63.83
09:30:01          0     26.74      0.00      9.01      0.04      0.27      0.00      0.00      0.00      0.00     63.94
09:30:01          1     26.70      0.00      9.11      0.04      0.27      0.00      0.16      0.00      0.00     63.71
09:40:01        all     60.44      0.00     10.65      0.00      0.16      0.00      0.07      0.00      0.00     28.68
09:40:01          0     59.94      0.00     10.72      0.01      0.16      0.00      0.01      0.00      0.00     29.17
09:40:01          1     60.93      0.00     10.59      0.00      0.16      0.00      0.13      0.00      0.00     28.19
09:50:03        all     37.92      0.00      9.73      0.19      0.24      0.00      0.05      0.00      0.00     51.86
09:50:03          0     38.08      0.00      9.57      0.15      0.23      0.00      0.00      0.00      0.00     51.97
09:50:03          1     37.77      0.00      9.90      0.24      0.24      0.00      0.11      0.00      0.00     51.74
10:00:01        all     19.30      0.00      8.90      0.06      0.29      0.00      0.08      0.00      0.00     71.37
10:00:01          0     19.23      0.00      8.71      0.05      0.29      0.00      0.00      0.00      0.00     71.72
10:00:01          1     19.38      0.00      9.09      0.07      0.30      0.00      0.15      0.00      0.00     71.02
10:10:02        all     21.83      0.00      8.85      0.25      0.29      0.00      0.04      0.00      0.00     68.74
10:10:02          0     21.76      0.00      8.74      0.33      0.28      0.00      0.00      0.00      0.00     68.89
10:10:02          1     21.91      0.00      8.95      0.18      0.29      0.00      0.08      0.00      0.00     68.59
10:20:01        all     17.96      0.00      8.22      0.10      0.30      0.00      0.04      0.00      0.00     73.38
10:20:01          0     17.82      0.00      8.09      0.08      0.30      0.00      0.00      0.00      0.00     73.72
